verð,stærð,fjherb,fjklós,lyfta,fjhæð,fjbílast,fjbkar,fjsturt
29974000,103.2,4,1,0,1,0,1,0
11990000,31.2,1,1,0,1,0,0,0
15785000,74.6,2,1,0,1,0,1,0
23339000,115.1,4,1,0,1,0,1,0
16000000,76.5,2,1,0,1,0,0,1
25824000,97.6,2,1,1,1,1,1,0
12870000,50.6,1,1,0,1,0,1,0
23899000,113.6,2,1,0,1,0,1,0
8562000,33.6,0,1,0,1,0,0,1
18060000,81.5,2,1,0,1,0,1,1
18222000,48.7,2,1,0,1,0,1,0
20750000,88.4,2,1,0,1,2,1,0
17631000,57.3,2,1,0,1,0,1,0
21711000,65.5,3,1,0,1,0,0,1
23493000,94.2,3,1,0,1,0,1,0
18917000,79.4,1,1,2,1,0,1,0
18800000,63.4,1,1,1,1,0,0,1
22078000,110.1,2,1,0,1,0,1,0
14350000,86.5,2,1,0,1,0,1,0
10446000,82.5,2,1,0,1,0,1,0
19153000,87.5,1,1,0,1,0,1,0
16467000,79.2,2,1,0,1,0,1,0
19519000,76.7,2,1,1,1,0,1,0
33289000,128.8,2,1,4,1,1,1,1
27340000,114.0,3,1,0,1,0,1,1
7500000,36.6,0,1,0,1,0,0,1
21998000,61.6,1,1,2,1,0,0,1
20744000,82.4,2,1,1,1,0,1,0
25234000,111.0,2,1,1,1,1,1,0
29028000,122.0,2,1,1,1,1,1,1
44153000,134.1,2,1,2,1,2,0,1
31838000,110.3,3,1,0,1,0,1,0
15900000,59.5,1,1,0,1,0,1,0
18500000,73.4,2,1,0,1,0,1,0
27048000,108.4,2,2,0,2,0,0,1
17600000,84.6,2,1,0,1,0,1,1
15468000,47.7,1,1,0,1,0,1,0
23463000,102.8,2,1,0,1,0,1,0
34322000,124.7,3,1,2,1,1,1,1
13646000,47.7,1,1,0,1,0,1,0
32711000,115.5,2,1,2,1,1,0,1
10996000,56.4,1,1,0,1,0,0,1
19193000,80.0,2,1,0,1,0,1,0
31902000,123.2,4,1,0,2,0,1,1
36540000,121.2,3,1,0,1,2,0,1
21345000,93.2,2,1,2,1,0,1,0
73136000,172.4,2,2,1,1,2,1,2
76170000,182.1,3,2,1,1,2,0,2
47951000,140.8,3,1,1,1,1,1,1
39520000,107.5,2,1,1,1,1,1,1
26324000,101.7,3,1,0,1,0,1,1
12649000,95.4,4,1,0,1,0,0,1
15400000,45.9,1,1,0,1,0,1,0
16780000,66.3,1,1,0,1,1,1,0
17090000,67.8,2,1,0,1,0,0,1
25500000,77.5,2,1,1,1,0,0,1
37716000,112.7,2,1,1,1,1,0,1
17889000,102.9,3,1,0,1,0,0,1
18855000,82.3,2,1,1,1,0,1,0
20856000,91.4,3,1,0,1,0,1,0
19993000,100.7,3,1,0,1,0,1,0
16261000,79.5,1,1,0,1,0,1,0
28833000,113.6,3,1,0,1,1,1,0
101601000,204.9,2,3,4,1,3,1,2
16458000,67.9,2,1,0,1,0,1,0
22282000,103.7,3,1,0,1,0,1,0
27092000,107.6,3,1,0,1,0,1,1
9903000,60.8,2,1,0,1,0,1,0
22502000,78.8,2,1,1,1,1,1,1
19189000,78.5,1,1,2,1,0,0,1
29300000,128.9,3,1,0,1,0,1,1
27865000,119.8,3,1,0,1,0,1,0
23465000,100.0,3,1,1,1,1,1,1
25671000,97.8,2,1,1,1,1,1,0
11115000,108.4,5,1,0,1,0,1,0
23046000,84.3,2,1,0,1,0,1,0
40841000,126.9,3,1,0,1,0,0,1
21344000,93.7,3,1,0,1,0,1,0
29300000,85.6,2,1,0,1,0,1,0
11990000,62.6,1,1,0,1,0,0,0
17402000,89.5,3,1,0,2,0,1,0
28438000,87.1,1,1,1,1,1,1,0
10793000,64.3,1,1,0,1,0,1,0
14770000,87.9,3,1,0,1,0,1,0
16198000,61.2,1,1,0,1,0,0,1
37929000,100.3,2,1,0,1,0,1,0
15801000,65.1,1,1,0,1,0,1,0
27080000,120.1,3,1,0,1,0,1,1
21764000,76.2,1,1,0,1,0,1,1
21884000,78.2,2,1,1,1,1,1,0
19160000,75.0,1,1,2,1,0,0,1
27616000,119.1,4,1,1,1,1,1,1
35971000,157.2,4,1,0,1,0,1,1
13845000,79.7,2,1,0,1,0,1,0
11804000,71.5,2,1,0,1,0,0,1
13775000,69.0,1,1,0,1,0,1,0
11363000,53.9,1,1,0,1,0,1,1
32384000,115.5,2,1,2,1,1,0,1
24184000,88.9,2,1,1,1,1,1,0
31188000,94.4,2,1,0,1,0,1,0
18937000,43.7,2,1,0,1,1,0,1
17195000,52.0,1,1,1,1,0,0,1
21288000,78.5,1,1,2,1,1,0,1
23977000,108.1,3,1,0,1,0,1,1
35154000,111.4,2,1,2,1,1,1,1
26736000,102.0,2,1,0,1,0,1,0
13093000,44.9,1,1,1,1,0,1,0
33286000,112.3,3,1,0,1,0,1,0
21000000,78.9,1,1,0,1,0,1,0
23815000,87.0,2,1,2,1,1,0,1
26494000,120.6,2,1,0,2,0,1,0
15945000,55.1,1,1,0,1,0,1,0
25808000,102.2,2,1,0,1,0,1,1
34580000,120.9,4,1,0,1,0,1,1
34463000,145.2,4,2,0,1,0,1,1
35484000,132.4,4,1,0,1,0,1,0
27707000,117.6,3,1,0,1,0,1,1
26914000,105.7,3,2,2,1,0,1,1
26255000,71.3,2,1,0,1,0,1,0
12011000,84.2,2,1,0,1,0,1,0
23500000,87.8,1,1,5,1,0,0,1
33203000,124.7,3,1,2,1,1,1,1
65545000,176.4,3,2,1,1,2,1,2
31382000,114.0,3,2,0,2,1,1,2
34950000,127.5,3,1,0,1,0,1,1
12831000,75.5,2,1,0,1,0,1,0
23185000,101.9,3,1,0,1,0,0,1
40930000,108.4,2,2,1,1,1,1,1
13873000,59.1,1,1,0,1,0,1,0
14531000,66.4,2,1,0,2,0,1,0
26187000,121.3,4,1,0,2,0,1,1
24218000,105.9,3,1,0,1,0,0,1
10592000,77.0,2,1,0,1,0,1,0
10950000,109.0,3,1,0,1,0,1,0
9369000,99.4,3,1,0,1,0,1,0
37596000,123.0,3,1,0,1,0,1,1
11494000,48.8,1,1,0,1,0,0,1
21410000,92.0,2,1,0,1,0,1,0
28207000,108.5,2,1,3,1,1,1,1
13436000,78.1,2,1,1,1,0,1,0
14600000,86.6,3,1,0,1,0,1,0
7412000,70.0,2,1,0,1,0,0,1
35686000,137.7,2,1,0,1,0,1,1
34000000,102.0,2,1,0,2,0,1,0
14292000,57.7,1,1,1,1,0,0,1
20479000,64.4,1,1,4,1,0,0,1
16417000,70.4,0,1,0,1,0,1,0
28980000,117.6,3,1,0,1,0,1,1
4107000,102.2,5,1,0,4,0,1,0
19826000,70.8,2,1,0,1,0,0,1
17250000,78.7,1,1,0,1,0,1,0
26103000,117.3,3,1,0,1,0,1,0
28462000,107.1,3,1,3,1,1,1,0
12282000,48.0,1,1,0,1,0,0,1
16284000,91.1,3,1,0,1,0,1,0
10200000,41.5,1,1,0,1,0,0,1
19416000,62.3,1,0,0,1,0,0,0
22500000,103.3,3,1,0,1,0,1,0
13733000,94.9,3,1,0,1,0,1,0
24537000,87.3,2,1,3,1,1,1,0
25673000,94.7,1,1,2,1,1,1,1
28939000,112.9,4,1,0,1,0,1,0
48277000,145.7,3,1,1,1,1,1,1
52695000,142.6,3,1,1,1,2,1,1
19851000,90.0,2,1,1,1,0,1,0
23766000,94.5,3,1,0,1,0,1,1
45488000,145.7,3,1,1,1,1,1,1
21420000,92.8,2,1,1,1,1,1,0
14000000,126.0,4,1,0,1,0,1,1
35204000,113.8,3,1,0,1,0,1,1
24893000,95.1,2,1,0,1,1,1,0
12938000,39.4,1,1,1,1,0,0,1
10824000,42.2,0,1,2,1,0,0,0
16073000,69.4,1,1,1,1,1,1,0
20814000,77.5,2,1,0,1,0,1,0
17340000,75.1,2,1,1,1,0,1,0
17981000,77.7,2,1,0,1,0,1,0
23915000,96.1,3,1,0,1,0,1,1
