"kdagur","nuvirdi","teg_eign","svfn","byggar","mbstig","efstah","lyfta","ibm2","fjhaed","fjbilast","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","fjgeym","matssvaedi","undirmatssvaedi","ibteg"
"7.11.2011",63238,"Einbýlishús",0,1924,7,2,0,"154.1",2,0,0,1,2,1,5,2,0,25,0,11
"7.11.2011",47292,"Íbúðareign",1100,2009,7,3,4,"130.4",1,1,1,1,2,1,3,1,0,400,0,12
"9.11.2011",33891,"Einbýlishús",0,1943,7,1,0,"118.7",2,0,1,1,2,1,3,2,0,100,0,11
"7.11.2011",26073,"Íbúðareign",0,2005,7,5,1,"92.3",1,1,1,0,1,1,2,1,0,130,0,12
"7.11.2011",30794,"Raðhús",1604,1988,7,2,0,"107.7",2,0,1,0,1,1,3,2,0,800,0,11
"12.11.2011",23500,"Raðhús",6000,1979,7,1,0,"120.1",1,0,1,1,1,1,3,1,0,6040,0,11
"11.11.2011",40862,"Einbýlishús",6000,1987,7,2,0,188,2,0,1,1,2,1,4,2,0,6020,0,11
"10.11.2011",36268,"Einbýlishús",6000,1969,7,1,0,"144.1",1,0,1,0,2,1,3,1,0,6030,0,11
"11.11.2011",17587,"Íbúðareign",6000,1946,7,1,0,"96.3",1,0,1,0,1,1,1,2,2,6020,0,11
"11.11.2011",19930,"Einbýlishús",2503,1966,7,1,0,"125.7",1,0,1,0,1,1,3,2,0,2020,0,11
"29.9.2011",21000,"Íbúðareign",1400,2004,7,5,1,"97.4",1,2,0,1,1,1,2,1,1,630,0,12
"14.11.2011",59273,"Einbýlishús",1400,1989,7,1,0,"229.5",2,0,1,2,2,2,5,3,0,650,0,11
"11.11.2011",25663,"Íbúðareign",1400,1957,7,3,0,"98.6",1,0,0,1,1,1,3,2,1,600,0,12
"14.11.2011",15860,"Íbúðareign",1400,1963,7,3,0,"68.5",1,0,1,0,1,1,2,1,0,600,0,12
"15.10.2011",28800,"Íbúðareign",1000,2008,7,4,2,"121.9",1,1,1,1,1,1,3,1,0,351,0,12
"10.11.2011",21469,"Einbýlishús",7300,1967,7,1,0,"146.9",1,0,1,0,1,1,4,1,0,7130,0,11
"3.11.2011",17527,"Íbúðareign",0,1989,7,4,1,"57.8",1,0,0,1,1,1,1,1,0,25,0,12
"24.10.2011",35628,"Íbúðareign",1100,1965,7,3,0,"119.6",1,0,1,0,1,1,3,1,0,400,0,12
"28.10.2011",12274,"Íbúðareign",0,1980,7,3,0,"38.2",1,0,0,1,1,1,0,1,0,160,0,12
"9.11.2011",24875,"Íbúðareign",0,1985,7,3,0,"89.2",1,0,1,1,1,1,2,1,1,85,0,12
"2.11.2011",14600,"Íbúðareign",0,1976,7,4,0,"67.2",1,1,1,0,1,1,1,1,3,150,22,12
"8.11.2011",26410,"Íbúðareign",0,2004,7,3,3,"107.2",1,1,1,1,1,1,3,1,0,180,0,12
"8.11.2011",27834,"Íbúðareign",0,1950,7,3,0,"94.5",2,0,2,0,2,2,2,2,0,90,0,11
"7.11.2011",32265,"Íbúðareign",0,2006,7,7,3,"99.8",1,1,0,1,1,1,2,1,0,90,46,12
"8.11.2011",46820,"Einbýlishús",0,1990,7,1,0,156,1,0,1,0,1,1,3,1,0,120,0,11
"9.11.2011",39399,"Íbúðarhús",0,1956,7,1,0,"189.6",2,0,2,1,2,1,3,2,0,100,0,11
"28.10.2011",19986,"Íbúðareign",0,1930,7,4,0,"75.3",1,0,1,0,1,1,2,2,1,11,0,12
"31.10.2011",25069,"Íbúðareign",0,1935,7,2,0,"115.7",1,0,1,0,1,1,3,2,1,20,0,12
"31.10.2011",15478,"Íbúðareign",0,1935,7,2,0,61,1,0,1,0,1,1,1,1,0,20,0,12
"31.10.2011",26637,"Íbúðareign",0,1935,7,2,0,"115.7",1,0,1,0,1,1,2,3,1,20,0,12
"11.11.2011",26569,"Íbúðareign",1300,2003,7,2,0,"99.6",1,0,1,1,1,1,3,1,0,700,0,12
"10.11.2011",23520,"Íbúðareign",1000,2007,7,6,1,"130.7",1,1,1,0,1,1,3,1,0,351,0,12
"9.11.2011",36364,"Íbúðareign",1000,1999,7,2,0,"123.7",1,0,1,1,1,1,2,1,1,340,0,12
"10.11.2011",49623,"Einbýlishús",1000,1962,7,2,0,"184.7",2,0,1,0,2,1,6,1,0,320,0,11
"4.11.2011",22000,"Íbúðareign",1000,2007,7,6,1,"95.1",1,0,1,0,1,1,2,1,0,351,0,12
"9.11.2011",26823,"Íbúðareign",1000,2003,7,3,0,"93.5",1,0,0,1,1,1,2,1,1,340,0,12
"10.11.2011",31958,"Íbúðareign",1000,2007,7,9,2,"113.2",1,1,1,1,1,1,2,1,1,320,44,12
"11.11.2011",36000,"Einbýlishús",1000,1955,7,1,0,"136.9",1,0,1,0,1,1,4,2,0,320,0,11
"3.11.2011",41784,"Íbúðareign",1000,2007,7,2,0,135,1,0,1,2,2,1,3,1,1,351,0,12
"10.11.2011",29646,"Íbúðareign",1000,2008,7,5,2,"115.5",1,0,0,1,1,1,2,1,0,350,0,12
"8.11.2011",20381,"Íbúðareign",0,1992,7,2,0,"65.6",1,0,1,0,1,1,1,1,1,210,0,12
"3.11.2011",31697,"Íbúðareign",0,1958,7,2,0,"131.1",1,0,1,0,1,1,2,2,1,281,0,11
"10.11.2011",29520,"Íbúðareign",1000,2007,7,4,1,"146.9",1,1,1,1,1,1,3,1,0,351,0,12
"8.11.2011",21032,"Íbúðareign",0,1967,7,3,0,"114.8",2,0,1,0,1,2,3,2,1,200,0,12
"9.11.2011",28723,"Íbúðareign",0,1958,7,2,0,109,1,0,0,1,2,1,3,1,0,100,0,12
"7.11.2011",24969,"Íbúðareign",0,1967,7,4,0,"82.5",1,0,0,1,2,1,3,1,0,20,0,12
"8.11.2011",12902,"Íbúðareign",0,1959,7,4,0,"51.7",1,0,1,0,1,1,1,1,0,80,17,12
"10.11.2011",25233,"Íbúðareign",0,1919,7,3,0,"68.8",1,0,1,0,1,1,1,1,0,20,0,12
"4.11.2011",16830,"Íbúðareign",0,1962,7,4,0,"68.1",1,0,1,0,1,1,2,1,2,91,28,12
