"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2015-07-13 18:00:00",25.3,111621
"2015-07-14 18:00:00",25.15,1700000
"2015-07-15 18:00:00",25.2,3230777
"2015-07-16 18:00:00",25.2,10275677
"2015-07-17 18:00:00",25.15,2282436
"2015-07-20 18:00:00",25.05,12905000
"2015-07-21 18:00:00",25.1,2096091
"2015-07-22 18:00:00",25.25,132718
"2015-07-23 18:00:00",25.2,1229208
"2015-07-24 18:00:00",25.2,27336000
"2015-07-27 18:00:00",25.3,2173986
"2015-07-28 18:00:00",25.85,11416052
"2015-07-29 18:00:00",26.25,22138700
"2015-07-30 18:00:00",26.45,4379584
"2015-07-31 18:00:00",26.2,8722024
"2015-08-04 18:00:00",26.25,11502000
"2015-08-05 18:00:00",26.3,3357703
"2015-08-06 18:00:00",26.2,3872550
"2015-08-07 18:00:00",26.2,8429454
"2015-08-10 18:00:00",26.4,1210884
"2015-08-11 18:00:00",26.25,4369645
"2015-08-12 18:00:00",26.25,29903890
"2015-08-13 18:00:00",26.45,25013615
"2015-08-14 18:00:00",26.75,676976
"2015-08-17 18:00:00",26.85,22379000
"2015-08-18 18:00:00",26.65,6744575
"2015-08-19 18:00:00",27.25,10413000
"2015-08-20 18:00:00",28,38770498
"2015-08-21 18:00:00",27.85,12554521
"2015-08-24 18:00:00",27.15,49389359
"2015-08-25 18:00:00",27.8,26510027
"2015-08-26 18:00:00",27.75,16035878
"2015-08-27 18:00:00",28.25,12457976
"2015-08-28 18:00:00",28.2,5938957
"2015-08-31 18:00:00",27.95,22996837
"2015-09-01 18:00:00",28.1,20142551
"2015-09-02 18:00:00",27.9,513941
"2015-09-03 18:00:00",28.1,1364921
"2015-09-04 18:00:00",28.5,8282634
"2015-09-07 18:00:00",28.95,23235175
"2015-09-08 18:00:00",29.7,33641780
"2015-09-09 18:00:00",29.65,17646617
"2015-09-10 18:00:00",29.8,486748
"2015-09-11 18:00:00",29.8,1794210
"2015-09-14 18:00:00",29.7,11757066
"2015-09-15 18:00:00",29.5,722631
"2015-09-16 18:00:00",29.75,16736690
"2015-09-17 18:00:00",29.8,3523500
"2015-09-18 18:00:00",29.65,4387313
"2015-09-21 18:00:00",29.7,8010286
"2015-09-22 18:00:00",29.6,17012000
"2015-09-23 18:00:00",30,19466647
"2015-09-24 18:00:00",30,14495725
"2015-09-25 18:00:00",30.1,6926202
"2015-09-28 18:00:00",30.1,10613651
"2015-09-29 18:00:00",30.05,2920333
"2015-09-30 18:00:00",30,2704279
